               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037663,            0.018907,            0.076356,            0.082942,             0.37164,             0.11222,            0.067297,            0.027328,           0.0067279,            0.058183,           0.0099157,           0.0099157,           0.0099157
                  38,            0.037154,            0.018806,            0.074658,             0.21258,             0.35834,             0.11707,            0.060996,            0.027414,           0.0060484,            0.054932,            0.009911,            0.009911,            0.009911
                  39,             0.03676,            0.018837,            0.072665,             0.23128,             0.35205,             0.14325,            0.067101,            0.027592,           0.0058586,            0.048546,           0.0099061,           0.0099061,           0.0099061
                  40,            0.038125,            0.018634,            0.073751,             0.14468,             0.43684,             0.14745,            0.081464,            0.028151,           0.0060715,            0.049447,           0.0099012,           0.0099012,           0.0099012
                  41,            0.037775,            0.018711,            0.074201,             0.23728,             0.30297,             0.18313,             0.09828,            0.026963,           0.0065166,            0.045838,            0.009896,            0.009896,            0.009896
                  42,            0.037081,            0.018497,              0.0713,             0.37398,             0.20662,             0.10451,            0.056064,              0.0297,            0.006339,            0.052782,           0.0098908,           0.0098908,           0.0098908
                  43,            0.038328,            0.018968,            0.073713,             0.36737,             0.19684,             0.18943,             0.10606,            0.027559,           0.0058583,            0.050095,           0.0098854,           0.0098854,           0.0098854
                  44,            0.036244,            0.018595,            0.070149,             0.13983,             0.41249,             0.13634,            0.066801,            0.029713,           0.0060886,             0.04354,             0.00988,             0.00988,             0.00988
                  45,            0.038637,            0.018522,             0.07211,             0.35257,             0.24373,             0.19335,             0.10985,              0.0265,           0.0059741,            0.050366,           0.0098743,           0.0098743,           0.0098743
                  46,            0.036746,            0.018578,            0.071868,             0.18212,             0.32073,             0.11345,            0.053787,            0.031591,           0.0063702,            0.053516,           0.0098686,           0.0098686,           0.0098686
                  47,            0.038032,             0.01854,            0.072025,              0.2034,             0.28821,             0.17246,            0.093233,             0.02546,           0.0061596,            0.045471,           0.0098627,           0.0098627,           0.0098627
                  48,            0.036045,            0.018457,            0.071243,             0.53417,             0.14331,             0.14027,            0.062259,            0.026914,           0.0059106,            0.045144,           0.0098567,           0.0098567,           0.0098567
                  49,            0.035997,             0.01826,            0.068048,             0.21288,             0.30762,             0.18747,            0.093956,            0.025168,            0.005816,             0.05065,           0.0098506,           0.0098506,           0.0098506
                  50,             0.03675,              0.0185,            0.071224,             0.47885,             0.17783,             0.17065,            0.086409,            0.026703,           0.0057119,            0.058249,           0.0098443,           0.0098443,           0.0098443
                  51,            0.034412,            0.017714,            0.069026,             0.40371,             0.24066,             0.20031,             0.10253,            0.025934,           0.0055876,            0.049517,            0.009838,            0.009838,            0.009838
                  52,            0.036267,            0.018262,             0.06964,             0.23173,             0.22127,             0.16323,            0.095169,            0.023477,           0.0058147,            0.052833,           0.0098315,           0.0098315,           0.0098315
                  53,             0.03561,            0.018203,             0.06893,              0.2987,             0.25538,             0.19948,             0.10865,            0.024947,            0.005991,              0.0479,           0.0098248,           0.0098248,           0.0098248
                  54,            0.035646,            0.017781,            0.069252,             0.18161,              0.3829,             0.19386,            0.099668,            0.026085,           0.0056417,             0.04589,           0.0098181,           0.0098181,           0.0098181
                  55,            0.034767,             0.01813,            0.068961,              0.2942,              0.2796,             0.18824,             0.10705,            0.025505,           0.0057413,            0.053824,           0.0098112,           0.0098112,           0.0098112
                  56,            0.035905,            0.018235,            0.069863,             0.41962,             0.19663,             0.19724,             0.10849,            0.025059,           0.0059795,            0.052077,           0.0098042,           0.0098042,           0.0098042
                  57,            0.035439,            0.017618,            0.070531,             0.30287,             0.22433,             0.16173,            0.080443,            0.028482,           0.0057521,            0.057387,           0.0097971,           0.0097971,           0.0097971
                  58,            0.036258,            0.017853,            0.068305,             0.23694,             0.34857,             0.22509,             0.12435,            0.026707,           0.0055363,            0.053354,           0.0097899,           0.0097899,           0.0097899
                  59,            0.035042,            0.017983,            0.068057,             0.23529,             0.34007,             0.23401,             0.11433,            0.028166,           0.0057078,            0.050546,           0.0097825,           0.0097825,           0.0097825
                  60,            0.035956,            0.018022,            0.068683,             0.31832,             0.26274,             0.21167,             0.11424,            0.024801,           0.0057697,            0.044771,            0.009775,            0.009775,            0.009775
                  61,            0.036011,            0.017824,            0.070604,             0.34024,             0.27082,             0.24889,             0.12999,            0.025505,           0.0057384,            0.047179,           0.0097674,           0.0097674,           0.0097674
                  62,            0.035508,             0.01772,            0.067239,             0.27742,             0.27911,              0.2304,             0.13373,            0.025372,           0.0056818,            0.049369,           0.0097596,           0.0097596,           0.0097596
                  63,            0.034952,            0.018003,            0.067904,             0.36314,             0.29564,             0.23285,             0.12592,            0.026386,           0.0057454,            0.046362,           0.0097518,           0.0097518,           0.0097518
                  64,             0.03463,            0.018011,            0.065377,             0.29736,              0.2384,             0.22713,             0.12544,            0.024932,           0.0054722,            0.048763,           0.0097438,           0.0097438,           0.0097438
                  65,            0.036362,            0.017561,            0.066969,             0.26468,             0.24725,             0.19499,            0.093994,            0.026986,           0.0056187,            0.048292,           0.0097357,           0.0097357,           0.0097357
                  66,            0.034956,            0.017848,            0.067593,             0.26843,             0.31443,             0.20986,             0.12894,            0.024602,            0.005588,            0.058361,           0.0097275,           0.0097275,           0.0097275
                  67,            0.033671,             0.01745,             0.06509,             0.21114,             0.40416,              0.2208,             0.12643,            0.024576,           0.0055502,            0.053387,           0.0097191,           0.0097191,           0.0097191
                  68,            0.034423,            0.018059,            0.066135,             0.20548,             0.29796,             0.24015,             0.14094,            0.023771,           0.0056823,            0.049522,           0.0097106,           0.0097106,           0.0097106
                  69,            0.037466,            0.017482,            0.068024,             0.17024,             0.41032,             0.20446,            0.096837,            0.027666,           0.0053758,            0.053025,            0.009702,            0.009702,            0.009702
                  70,            0.035786,            0.018009,            0.067085,             0.22543,             0.34858,             0.22933,             0.12414,            0.025503,           0.0057319,            0.046602,           0.0096933,           0.0096933,           0.0096933
                  71,            0.035619,            0.017736,            0.066858,             0.37884,             0.23509,             0.24822,             0.14662,            0.025814,           0.0056057,            0.046261,           0.0096845,           0.0096845,           0.0096845
                  72,            0.036439,            0.017717,            0.066071,             0.24292,             0.34599,             0.24144,             0.14009,            0.023963,            0.005382,            0.051575,           0.0096755,           0.0096755,           0.0096755
                  73,            0.034421,            0.017276,            0.066087,             0.17501,             0.39283,             0.20283,             0.11285,            0.027173,           0.0054818,            0.042579,           0.0096665,           0.0096665,           0.0096665
                  74,            0.034605,            0.017656,            0.066482,             0.17865,             0.49323,             0.22078,             0.10952,            0.028226,           0.0052735,            0.042217,           0.0096573,           0.0096573,           0.0096573
                  75,            0.033741,            0.017522,            0.064708,             0.20922,             0.42095,             0.22774,             0.12077,            0.025297,           0.0057642,            0.045324,            0.009648,            0.009648,            0.009648
                  76,            0.034686,            0.017659,            0.067734,             0.28646,             0.24266,             0.23952,             0.12572,             0.02478,           0.0054193,             0.05147,           0.0096385,           0.0096385,           0.0096385
                  77,            0.033525,            0.017684,            0.065403,             0.26951,             0.35674,             0.23658,             0.14756,            0.023152,           0.0053934,            0.048678,            0.009629,            0.009629,            0.009629
                  78,            0.036054,            0.017738,            0.066142,             0.23455,             0.36872,             0.25228,             0.13999,            0.023402,           0.0051888,            0.047534,           0.0096193,           0.0096193,           0.0096193
                  79,            0.034005,            0.017423,             0.06432,             0.35499,             0.30694,             0.26646,             0.16332,            0.022716,           0.0053009,            0.050925,           0.0096095,           0.0096095,           0.0096095
                  80,            0.036075,            0.018188,             0.06334,             0.23622,             0.39453,             0.26687,             0.15533,            0.024074,           0.0056916,             0.04238,           0.0095996,           0.0095996,           0.0095996
                  81,            0.035451,            0.017188,            0.063359,             0.35989,             0.34721,             0.25544,             0.12512,            0.025318,           0.0055049,            0.048414,           0.0095896,           0.0095896,           0.0095896
                  82,            0.034678,            0.016878,            0.064513,             0.23611,             0.35494,             0.23892,             0.13315,            0.025521,            0.005837,             0.04821,           0.0095795,           0.0095795,           0.0095795
                  83,            0.034892,             0.01734,            0.065408,             0.22456,             0.46142,             0.28273,             0.15836,            0.025252,           0.0054063,            0.051465,           0.0095692,           0.0095692,           0.0095692
                  84,            0.034212,            0.017205,            0.065628,             0.17318,             0.43481,             0.21449,             0.11967,            0.025345,           0.0053632,            0.050381,           0.0095588,           0.0095588,           0.0095588
                  85,            0.034528,            0.017411,            0.064383,             0.20528,             0.36412,             0.24861,             0.14167,            0.025942,           0.0057428,             0.04195,           0.0095483,           0.0095483,           0.0095483
                  86,            0.034405,            0.017556,            0.065435,             0.15052,             0.51747,             0.23967,             0.12686,            0.026129,           0.0053686,            0.048566,           0.0095377,           0.0095377,           0.0095377
                  87,            0.033447,            0.016823,            0.062637,             0.24162,             0.31443,              0.2111,             0.11821,            0.026028,           0.0054639,            0.044702,            0.009527,            0.009527,            0.009527
                  88,            0.034971,            0.017281,            0.061831,             0.17793,             0.49579,             0.27527,             0.14832,            0.023867,           0.0052821,            0.047088,           0.0095162,           0.0095162,           0.0095162
                  89,            0.033316,            0.017351,            0.061847,             0.33039,             0.33635,             0.28156,             0.15586,            0.022192,           0.0055829,            0.041665,           0.0095052,           0.0095052,           0.0095052
                  90,            0.034252,            0.017074,             0.06264,             0.32714,             0.33992,             0.30349,             0.17255,            0.023095,            0.005492,            0.041763,           0.0094942,           0.0094942,           0.0094942
                  91,             0.03371,            0.017039,            0.062652,              0.2069,             0.43314,             0.27862,              0.1475,            0.023379,           0.0054088,            0.045357,            0.009483,            0.009483,            0.009483
                  92,            0.034717,            0.017181,             0.06213,             0.23124,             0.39101,             0.29445,             0.14916,            0.026841,           0.0052421,            0.052223,           0.0094717,           0.0094717,           0.0094717
                  93,            0.031936,            0.016894,             0.06171,             0.31496,             0.34524,             0.28061,              0.1485,            0.023858,           0.0054992,            0.043142,           0.0094603,           0.0094603,           0.0094603
                  94,            0.033531,            0.017055,            0.062547,             0.40631,             0.28916,             0.32142,             0.16448,            0.026539,           0.0054717,            0.048747,           0.0094488,           0.0094488,           0.0094488
                  95,             0.03467,            0.017091,            0.062575,              0.1886,             0.44803,             0.27155,             0.15375,            0.024493,           0.0053682,            0.040852,           0.0094371,           0.0094371,           0.0094371
                  96,            0.033423,            0.017096,             0.06274,             0.37048,             0.33921,             0.30717,             0.15043,            0.027194,           0.0050078,            0.040758,           0.0094254,           0.0094254,           0.0094254
                  97,             0.03401,             0.01743,            0.059779,             0.35568,             0.35995,             0.32081,             0.17034,            0.023665,           0.0052304,            0.045225,           0.0094135,           0.0094135,           0.0094135
                  98,            0.033251,            0.016416,            0.060546,             0.18228,             0.51938,             0.29478,             0.16221,            0.025336,           0.0056626,            0.038786,           0.0094016,           0.0094016,           0.0094016
                  99,            0.033348,            0.016781,              0.0633,             0.21164,             0.41602,             0.30121,              0.1683,            0.024586,           0.0052961,            0.042815,           0.0093895,           0.0093895,           0.0093895
                 100,            0.035061,            0.016749,            0.062539,             0.29635,             0.38373,             0.28929,             0.16398,             0.02331,           0.0056465,            0.045796,           0.0093773,           0.0093773,           0.0093773
